title,所在地,備考,lat,lng,,,,
五反田文化センター,東京都品川区西五反田6-5-1,所在地:西五反田6-5-1 電話:3492-2451 施設内容:第1～3講習室　第1～6会議室　講習和室　第1～5スタジオ　託児室　音楽ホール　第1～3楽屋　プラネタリウム 休館日:年末年始・毎月第4月曜日利用時間:午前9時～午後9時30分 (日曜・祝日は午前9時～午後4時30分),35.6226453,139.7166191,,,,
荏原文化センター,東京都品川区中延1-9-15,所在地:中延1-9-15電話:3785-1241 施設内容:第1～4講習室　中会議室(託児室兼用)　小会議室　講習和室　料理講習室　レクリエーションホール　大ホール　グループ室　温水プール 休館日:年末年始・毎月第4月曜日,35.6121257,139.7106906,,,,
旗の台文化センター,東京都品川区旗の台5-19-5,所在地:旗の台5-19-5電話:3786-5191 施設内容:第1～2会議室 レクリエーションホール スポーツ室 グループ室 休館日:年末年始・毎月第4日曜日,35.6038448,139.7002532,,,,
東品川文化センター,東京都品川区東品川3-32-10,所在地:東品川3-32-10電話:3472-2941 施設内容:第1～3講習室　会議室　講習和室　美術工芸室　視聴覚室　グループ室　レクリエーションホール　スポーツ室　軽スポーツ室　託児室 休館日:年末年始・毎月第1日曜日,35.6129526,139.7504552,,,,
南大井文化センター,東京都品川区南大井1-12-6,所在地:南大井1-12-6 電話:3764-6511 施設内容:第1～3講習室　美術工芸室　レクリエーションホール　スポーツ室　託児室　グループ室 休館日:年末年始・毎月第4日曜日,35.5962353,139.7375818,,,,
品川図書館,東京都品川区北品川2-32-3,品川区北品川2-32-3,35.6168807,139.7423369,,,,
二葉図書館,東京都品川区二葉1-4-25保育園と併設,品川区二葉1-4-25併設二葉保育園,35.608058,139.7268669,,,,
荏原図書館,東京都品川区中延1-9-15文化センターと併設,品川区中延1-9-15併設荏原文化センター,35.6121614,139.7105618,,,,
南大井図書館,東京都品川区南大井3-7-13保育園等と併設,品川区南大井3-7-13併設南大井児童センター南大井保育園南大井シルバーセンター,35.5915864,139.7343977,,,,
源氏前図書館,東京都品川区中延4-14-17保育園と併設,品川区中延4-14-17併設源氏前保育園,35.6054776,139.7099039,,,,
ゆたか図書館,東京都品川区豊町1-17-7,品川区豊町1-17-7,35.6115833,139.7224334,,,,
大井図書館,東京都品川区大井5-19-14滝王子児童センターと併設,品川区大井5-19-14併設滝王子児童センター,35.5981956,139.7291339,,,,
五反田図書館,東京都品川区西五反田6-5-1教育総合会館,品川区西五反田6-5-1電話　3492-2131利用時間日曜、月曜、祝日:午前9時～午後5時火曜～土曜日:午前9時～午後8時休館日第2・4日曜日第2木曜日(祝日の場合は翌日)特別整理期間、年末年始,35.6224934,139.7167534,,,,
大崎図書館,東京都品川区大崎2-4-8,品川区大崎2-4-8,35.6185888,139.7257251,,,,
八潮図書館,東京都品川区八潮5-10-27地域センター内,品川区八潮5-10-27併設八潮地域センター八潮児童センター,35.5998508,139.7516856,,,,
品川歴史館,東京都品川区大井6-11-1,品川区大井6-11-1電話:3777-4060 交通:大井町駅から東急バス「鹿島神社前」下車徒歩1分、JR大森駅山王北口下車徒歩10分 開館時間:午前9時～午後5時(入館は4時30分まで) 休館日:年末年始、月曜日および祝日,35.596791,139.7301024,,,,
メイプルセンター,東京都品川区西大井1-4-25,(公財)品川文化振興事業団が運営するカルチャーセンター。 多様な講座を開催。所在地:西大井1-4-25電話:3774-5050 交通:JR横須賀線西大井駅 休館日:毎月第4日曜日、年末年始 開館時間:午前9時～午後9時30分(土・日・祝日は午後5時まで),35.6020613,139.722429,,,,
O美術館,東京都品川区大崎1-6-2大崎ニューシティ2号館2階,絵画や書道、彫刻、工芸、写真をはじめ多目的に利用できる美術館です。所在地　大崎1-6-2 大崎ニューシティ2号館2階 電話　3495-4040 交通　JR大崎駅 休館日　毎週木曜日、年末年始、特別展前後約1週間 開館時間　午前10時～午後6時30分,35.6207867,139.7292687,,,,
品川区民ギャラリー,東京都品川区大井1-3-6イトーヨーカドー大井町店8階,作品の発表などに、ギャラリーをご利用いただけます。所在地　大井1-3-6 イトーヨーカドー大井町店8階電話　3774-5151 交通　大井町駅 休館日　毎週火曜日、年末年始 開館時間　午前10時～午後8時,35.6071335,139.7340314,,,,
しながわ水族館,東京都品川区勝島3-2-1しながわ区民公園内,品川区勝島3-2-1しながわ区民公園内電話:3762-3431 交通: JR大井町駅から無料バス開館時間: 午前10時～午後5時(入館は午後4時30分まで) 休館日: 毎週火曜日、1月1日 *春休み、ゴールデンウィーク、夏休みは営業,35.5886339,139.7373639,,,,
久米美術館,東京都品川区上大崎2-25-5久米ビル8階,所在地　上大崎2-25-5久米ビル8階電話　3491-1510 交通　目黒駅徒歩1分 開館時間　午前10時～午後5時(入館は4時30分まで) 休館日　水曜日、年末年始、展示替期間 入館料　一般500円、大学・高校生300円、小・中学生200円,35.6345473,139.714759,,,,
原美術館,東京都品川区北品川4-7-25,所在地　北品川4-7-25電話　3445-0651 開館時間　午前11時～午後5時、水曜のみ午後8時まで(祝日の場合を除く) 休館日　月曜日(祝日にあたる場合は開館し翌日休館) ,35.6210782,139.7360376,,,,
船の科学館,東京都品川区東八潮3-1,品川区東八潮3-1,35.6201925,139.7721938,,,,
杉野学園衣裳博物館,東京都品川区上大崎4-6-19,品川区上大崎4-6-19,35.631742,139.7158541,,,,
総合体育館,東京都品川区北品川5-6-11,品川区東五反田2-11-2電話 :3449-4400開館時間 : 8:30～21:30　交通 : JR山手線、りんかい線　大崎駅より徒歩6分JR山手線、都営浅草線、東急池上線　五反田駅より徒歩6分休館日: 第3月曜日(祝日と重なった時は、その翌日),35.6245295,139.7284885,,,,
天王洲公園野球場,東京都品川区東品川2-5-42,品川区東品川2-5-42野球、サッカー等様々なスポーツを行える多目的広場が敷地の大部分を占める特殊な公園で、天王洲再開発地区の端部に位置するため周辺の夜景が美しい。,35.620512,139.7498021,,,,
八潮北公園野球場,東京都品川区八潮1-3-1,品川区八潮1-3-1八潮地区の北側に位置し、昭和54.4.1東京都海上公園として開設。テニスコート4面、野球場1面、便所1棟設計された公園。,35.612284,139.7544038,,,,
大井ふ頭中央海浜公園野球場,東京都品川区八潮4-1-19,品川区八潮4-1-19,35.5909394,139.7524388,,,,
子供の森野球場,東京都品川区北品川3-10-13,品川区北品川3-10-13,35.6162182,139.7375654,,,,
しながわ区民公園野球場,東京都品川区勝島3-2-2,品川区勝島3-2-2 京浜急行　立会川駅、大森海岸駅から徒歩約5分公園内には、しながわ水族館、野球場、庭球場、ディキャンプ場、プール(夏季)あり。,35.5944787,139.7402054,,,,
東品川公園庭球場,東京都品川区東品川3-14-9,品川区東品川3-14-9身障者用トイレや車椅子で遊べる遊具等、障害者への配慮が数多くなされている。弓道場、テニスコート2面、噴水,35.6143635,139.7461634,,,,
八潮北公園庭球場,東京都品川区八潮1-3-1,品川区八潮1-3-1,35.6129967,139.7540129,,,,
しながわ区民公園庭球場,東京都品川区勝島3-2-2,品川区勝島3-2-2 野球場、庭球場ディキャンプ場あり,35.5936557,139.7393529,,,,
